,0
22623,"""Whoopie Pie"" Pam Jarrell"
21950,50 Cent
27462,A'Lelia Perry Bundles
7124,A'Mera Frieman
21659,A.   Rose
15520,A. Bates
1670,A. Buelow
23638,A. Capone
21750,A. Cort Sinnes
27738,A. Deborah Baker
10507,A. Drew
12396,A. Dž. Kronins
13073,A. Lee Martinez
8144,A. Manette Ansay
2202,A. Meredith Walters
4363,A. Merritt
20684,A. Parra
22751,A. Poulin Jr.
26445,A. Roger Ekirch
4090,A. Samad Said
7742,A. Stuart Wheelwright
22763,A. Ubaidillah Alias
5136,A. Walton Litz
26842,A. Wess Mitchell
27610,A. Zavarelli
6896,A.A. Attanasio
5724,A.A. Milne
9745,A.B. McKinley
1530,A.C. Bextor
22698,A.C. Bhaktivedanta Swami Prabhupāda
8528,A.C. Crispin
10033,A.C. Gaughen
13829,A.C. Harrah
21698,A.C. Weisbecker
7697,A.D. Bloom
16705,A.D. Starrling
18262,A.D. Truax
28440,A.D. Zoltan
20378,A.D.R. Forte
4567,A.D.T. McLellan
14445,A.E.  Kirk
18705,A.E. Coppard
6874,A.E. Hotchner
4346,A.E. Housman
20953,A.E. Stallings
3937,A.E. Watson
5545,A.E. van Vogt
23902,A.F. Harrold
13238,A.G. Cairns-Smith
20996,A.G. Henley
1901,A.G. Howard
1353,A.G. Mogan
26086,A.G. Riddle
11040,A.G. Roemmers
1034,A.H. Holt
28059,A.H. Kim
23921,A.H. Tammsaare
5746,A.H.T. Levi
25339,A.I. Alexen
11951,A.J.   Church
27358,A.J.  Rivers
16751,A.J.  Rose
27426,A.J.  Wills
7679,A.J. Allen
1027,A.J. Betts
9312,A.J. Bialo
10907,A.J. Brewster
1762,A.J. Butcher
12395,A.J. Cronin
27428,A.J. Finn
4621,A.J. French
28500,A.J. Hackwith
21268,A.J. Hartley
19515,A.J. Kazinski
4599,A.J. Lake
17615,A.J. Mackinnon
26063,A.J. McAllister
28484,A.J. McDine
19173,A.J. Quinnell
7140,A.J. Rosenberg
14631,A.J. Waines
18955,A.J.J. Bourque
22341,A.J.P. Taylor
25834,A.K. Dewdney
28520,A.K. Larkwood
14781,A.K. Mars
18043,A.K. Ramanujan
27902,A.K. Small
5474,A.L. Davroe
10611,A.L. Gyton
2134,A.L. Jackson
2894,A.L. Knorr
11977,A.L. Lloyd
10212,A.L. Rowse
27111,A.L. Sonnichsen
18266,A.M. Blackmore
5161,A.M. Dellamonica
23579,A.M. Guilliams
25774,A.M. Hargrove
7598,A.M. Homes
27192,A.M. Kherbash
4706,A.M. Madden
13600,A.M. O'Sullivan
26099,A.M. Robinson
18834,A.M. Rose
26897,A.M. Willard
26629,A.N. Other
20633,A.N. Roquelaure
8431,A.N. Shekarnia
16456,A.N. Willis
14607,A.N. Wilson
15850,A.P. Stephens
26325,A.P.J. Abdul Kalam
2737,A.R. Ammons
28226,A.R. Capetta
22976,A.R. Kahler
2616,A.R. Torre
12805,A.R. Wise
2346,A.S. Byatt
4407,A.S. King
19008,A.S. Laksana
4628,A.S. McDermott
21619,A.S. Neill
4682,A.S. Patric
25096,A.S.A. Harrison
3740,A.T. Hatto
24841,A.V. Club
22670,A.W. Exley
8912,A.W. Tozer
79,AMV
19745,ANONYME X
22776,AVN
24502,Aale Tynni
18560,Aalexxa Aarows
21030,Aan Syafrani
25933,Aarica Dee Koliyah
18067,Aarno Peromies
26585,Aaron Allen Schiller
3566,Aaron Allston
8869,Aaron B. Powell
24613,Aaron Becker
15395,Aaron Cometbus
16614,Aaron Copland
569,Aaron D'Este
5436,Aaron Dembski-Bowden
24868,Aaron Ehasz
11881,Aaron Geary
15222,Aaron Hartzler
19127,Aaron Jennings
2671,Aaron Johnston
16493,Aaron M. Patterson
25157,Aaron Parrett
25523,Aaron Pocock
5636,Aaron Pogue
15657,Aaron Polson
26609,Aaron Quincy
25519,Aaron Renier
22086,Aaron Rocheleau
22642,Aaron Shaun Brennan
15143,Aaron Sowd
23761,Aaron T. Beck
23918,Abbey Curran
21207,Abbey Sy
1158,Abbi Glines
27147,Abbi Waxman
28332,Abbie Emmons
28333,Abbie Greaves
15362,Abbie Hoffman
17518,Abbie St. Claire
12942,Abby Craden
11242,Abby Crayden
27881,Abby Jimenez
11590,Abby Johnson
9147,Abby McDonald
27523,Abby Sher
17531,Abdal Hakim Murad
27802,Abdi Nazemian
14414,Abdul Alhazred
13559,Abdul Basit Ahmed
7112,Abdul Haleem Sharar
841,Abdul Halim Ibn Muhammad Nassae As-Salafi
8429,Abdul Malik Mujahid
24493,Abdul Mun'im Muhammad
374,Abdul Mutaqin
13055,Abdul-Jabbar Khan
12286,Abdullah Bilgrami
10827,Abdullah Hussein
11576,Abdurrahman Wahid
4673,Abdülbaki Gölpınarlı
13456,Abeni Morris
16427,Abhishek Krishnan
27476,Abi Daré
27212,Abigail  Johnson
9596,Abigail Adams
16389,Abigail Barnette
7730,Abigail Gibbs
25421,Abigail Haas
14849,Abigail Halpin
27832,Abigail Hing Wen
25072,Abigail Israel
6825,Abigail Reynolds
811,Abigail Roux
26180,Abigail Stone
25417,Abigail Tarttelin
17062,Abo Polak
24457,Abolqasem Ferdowsi
5904,Abra Ebner
9915,Abraham Cahan
8095,Abraham Joshua Heschel
12838,Abraham Lincoln
12612,Abraham Pais
18091,Abraham Verghese
17530,Abu Hamid al-Ghazali
23429,Abu ‘Ali al-Banjari al-Nadwi
7496,Abul K. Abbas
27218,Ace Atkins
23627,Achdiat K. Mihardja
22101,Achille Campanile
1070,Achy Obejas
19908,Acik Lana
13961,Ada Adams
27790,Ada Calhoun
9392,Ada Vigliani
18519,Adachitoka
23798,Adah Hamidah
27126,Adalyn  Grace
24842,Adam  Copeland
21447,Adam Ant
16482,Adam Arroyos
9343,Adam Aust
22430,Adam Baker
12209,Adam Cadre
27477,Adam Cesare
21483,Adam E. Mehaffey
26651,Adam Fawer
8174,Adam Gidwitz
16321,Adam Goodheart
6831,Adam Gopnick
5541,Adam Gopnik
6153,Adam Gragg
26736,Adam Harkus
21573,Adam Hart-Davis
13193,Adam Hochschild
9935,Adam Jay Epstein
14656,Adam Johnson
20340,Adam L. Kern
578,Adam Lance Garcia
15121,Adam Leitman Bailey
12626,Adam M. Grant
15502,Adam Makos
19235,Adam Mansbach
3479,Adam Mars-Jones
12494,Adam McCauley
15700,Adam Mickiewicz
4611,Adam Millard
2854,Adam Najberg
3922,Adam Nevill
21473,Adam Novy
18848,Adam Parfrey
24967,Adam Pelzman
16894,Adam Phillips
4385,Adam Rapp
10492,Adam Rex
6889,Adam Roberts
27819,Adam Rutherford
5530,Adam Sadler
14554,Adam Schell
23983,Adam Scott Glancy
2562,Adam Silvera
26671,Adam Smith
24488,Adam Steven Page
7263,Adam Stower
2842,Adam Thirwell
3573,Adam Wallace
22556,Adam Williams
16133,Adam Wiśniewski-Snerg
3100,Adam Świeżyński
9162,Adam-Troy Castro
28603,Addie Boswell
27928,Addie Thorley
7870,Addison Moore
11400,Adele Bradford
13653,Adele Faber
20177,Adele Griffin
10814,Adele Parks
5070,Adele Vieri Castellano
16276,Adele Westbrook
16496,Adelina Mioara Angheluta
15946,Adelina Vasiliu
12576,Adeline Yen Mah
27103,Adelino dos Santos Rodrigues
19265,Adelle Waldman
22628,Adena Halpern
21439,Adhitya Mulya
19139,Adi
27752,Adi Alsaid
23396,Adi Rule
26699,AdiFitri Ahmad
28369,Adib Khorram
27310,Adiba Jaigirdar
15571,Adina Popescu
27036,Adina Rishe Gewirtz
8881,Adina Senft
18777,Adisakdi Tantimedh
22690,Aditi Khorana
19866,Adjoa Andoh
9446,Adolf Born
23888,Adolfo Bioy Casares
22454,Adolfo García Ortega
12723,Adolfo Muñoz García
24360,Adolph Spaeth
26089,Adolphe d'Ennery
9085,Adra Young
17071,Adriaan Roland Holst
22926,Adriaan van Dis
7332,Adrian Alphona
17900,Adrian Cole
25907,Adrian Conan Doyle
9592,Adrian Deliu
18770,Adrian Martin
24193,Adrian McKinty
15028,Adrian Mitchell
6697,Adrian Nicole LeBlanc
16725,Adrian Owen
10097,Adrian Phoenix
17016,Adrian Salmon
1431,Adrian Tchaikovsky
9860,Adrian Vaughan
20461,Adrian Walker
7246,Adriana  Hunter
4381,Adriana Bellini
8697,Adriana Liciu
4859,Adriana Locke
28363,Adriana Mather
25552,Adriana Motti
26669,Adriana Noir
7492,Adriana Trigiani
22732,Adriane Leigh
5085,Adrianne Brooks
22673,Adrianne Byrd
22313,Adriel Reed
23220,Adrienne Bell
27187,Adrienne Chinn
27086,Adrienne D'nelle Ruvalcaba
19934,Adrienne Dixon
21195,Adrienne Foulke
21532,Adrienne Giordano
28789,Adrienne Kisner
21091,Adrienne Kress
23938,Adrienne Maree Brown
5215,Adrienne Maria Vrettos
27701,Adrienne Miller
4593,Adrienne Rich
16816,Adrienne Roy
6270,Adrienne Stoltz
5198,Adrienne Thompson
2509,Adrienne Torrisi
23613,Adrienne Vaughan
10285,Adrienne Wilder
27763,Adrienne Young
9707,Adyashanti
14223,Adèle Geras
20482,Aefke ten Hagen
20712,Aelxander Afansev
14959,Aeschylus
18242,Aesop
16952,Affinity Konar
28623,Afia Atakora
13620,Afifah Afra
4674,Afkham Darbandi
64,Agatha Christie
15291,Agatha Christie Mallowan
28324,Agathe Nabet
14583,Agnes F. Vandome
11072,Agnes Jessica
11953,Agnes Moncy Gullón
3523,Agnes Sanford
12448,Agnes Sims
20453,Agnes Tickheathen
18496,Agnes Vishnevkin
10609,Agnete Friis
14250,Agnieszka Glinczanka
15352,Agnieszka Kalus
13229,Agnieszka Kołakowska
12939,Agnolo di Cosimo Bronzino
10222,Agostino Perani
27312,Agus Morales
19007,Agus Noor
28763,Agustina Bazterrica
11324,Agustina Bessa-Luís
3818,Agustinus Wibowo
13633,Agustí Vehí
7054,Agustín Fernández Paz
26637,Agustín Gómez-Arcos
4786,Ahdaf Soueif
3089,Ahmad Adil Kamal
24104,Ahmad Baari
16314,Ahmad Fuadi
913,Ahmadou Kourouma
21467,Ahmed Faiyaz
23138,Ahmed H. Zewail
18823,Ahmed Ibn Mohammed Makkari
17097,Ahmed Masoud
1654,Ahmed Oseni
17573,Ahmed Rashid
1810,Ahmet Cemal
17635,Ahmet Hamdi Tanpınar
22168,Ai
18520,Ai Aoki
3302,Ai Hasukawa
12809,Ai Mi
7693,Ai Ninomiya
17611,Ai Takai
3603,Ai Yasufuku
18935,Ai Yazawa
16770,Aida Candelario Castro
14728,Aida D. Donald
7466,Aidan Chambers
14476,Aidan Higgins
6584,Aidan Macfarlane
9573,Aidan Willows
15779,Aiden Bates
413,Aiden James
12485,Aiden Shaw
27774,Aiden Thomas
25107,Aiko Ito
8391,Aileen Erin
27456,Aileen Fish
5094,Aileen Morris
20713,Aileen Ribeiro
11175,Aim Ruivivar
14331,Aimee Agresti
28388,Aimee Alexander
11210,Aimee Bender
15312,Aimee Cabo Nikolov
3545,Aimee Carter
9574,Aimee Friedman
28175,Aimee Horne
18554,Aimee Lewis
25951,Aimee Major-Steinberger
28296,Aimee Molloy
6860,Aimee Mullins
28396,Aimee Nezhukumatathil
23432,Aimee Said
28341,Aimie K. Runyan
2795,Aimé Césaire
3730,Aimée Warmerdam
21264,Ain Maisarah
3214,Aina Emir
18431,Aino Kallas
21007,Ainsley Shay
12730,Airicka Phoenix
7799,Ais
6386,Aisha Ahmad
24941,Aisha Linnea
21883,Aisha Saeed
22666,Aisha Tritle
10320,Aistė Vilkaitė
18182,Aisya Sofea
12455,Ajay Nair
20651,Aji Prasetyo
14872,Ajip Rosidi
21806,Akanksha Suresh
6426,Akasha Gloria Hull
28694,Akemi Dawn Bowman
26251,Akhil   Sharma
19144,Akiane Kramarik
9306,Akif Pirinçci
3461,Akihiro Yamada
14560,Akiko Higashimura
13512,Akira Amano
8194,Akira Himekawa
14825,Akira Toriyama
11251,Akira Watanabe
26700,Akmal Aziz
28382,Akwaeke Emezi
13227,Al Barrionuevo
538,Al Berto
19693,Al Capp
5639,Al Dempster
19351,Al Franken
8884,Al Gore
7809,Al Mayton
15469,Al Naclerio
17568,Al Perkins
18168,Al Ries
4130,Al Robertson
3397,Al Sarrantonio
10336,Al Strachan
8575,Al Switzler
18846,Al Taliaferro
3834,Al Williamson
4668,Aladdin Elaasar
28017,Alafair Burke
19260,Alain Badiou
15842,Alain Corbin
19993,Alain Damasio
19069,Alain Daniélou
17330,Alain Defossé
24918,Alain Erlande-Brandenburg
11164,Alain Pages
11900,Alain Robbe-Grillet
23794,Alain Soral
923,Alain de Botton
8240,Alan  Dale
1932,Alan  Lee
4042,Alan  Watt
15616,Alan Alda
24856,Alan Alop
4000,Alan Bennett
7854,Alan Black
9370,Alan Blair
5501,Alan Bleasdale
3985,Alan Bradley
2731,Alan Brennert
18559,Alan Brooke
7794,Alan Brown
17218,Alan Bullock
24942,Alan C. Martin
13214,Alan Campbell
22016,Alan Chapman
10227,Alan Cohen
8534,Alan Davis
4091,Alan Dean Foster
25742,Alan Drury
17943,Alan Duff
5022,Alan Furst
21856,Alan G. Thomas
1332,Alan Garner
9407,Alan Gordon
23245,Alan Grant
12250,Alan Gratz
10639,Alan Greenspan
23502,Alan Greig
20920,Alan H. Sommerstein
7036,Alan Hollinghurst
14863,Alan Jacobson
4735,Alan Jolis
10302,Alan Kesselheim
23108,Alan L. Pritz
5863,Alan MacDonald
12744,Alan Manford
2471,Alan Moore
13270,Alan Myers
23259,Alan Parry
14145,Alan Partridge
2589,Alan R. Clarke
6872,Alan Rabinowitz
16615,Alan Rich
11705,Alan Richardson
4154,Alan Russell
18320,Alan S. Blinder
23591,Alan S. Fedrick
10458,Alan Sharp
249,Alan Sheridan
26105,Alan Silberberg
11351,Alan Sillitoe
9217,Alan Silvestri
24685,Alan Snow
15477,Alan Sokal
17764,Alan Spence
18207,Alan Steinberg
27299,Alan Strachan
9281,Alan Tiegreen
14253,Alan Turney
17976,Alan W. Watts
21971,Alan Warner
4966,Alan Weisman
3669,Alan de Queiroz
25184,Alandra Blume
4710,Alane Salierno Mason
1195,Alanea Alder
